issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"1. Log in to your Claude Console account.
2. Navigate to the Workspaces section by clicking on ""Settings"" in the top level menu and selecting “Workspaces” from the left side bar (Settings > Workspaces).
3. Click the ""Add Workspace"" button near the top right of the page.
4. In the modal that appears, enter a name for your new Workspace, and select a color assignment. This color assignment will be used to help visually identify your workspace in the Claude Console.
5. Click ""Create"" to finalize the new Workspace.

Creating and managing Workspaces in the Claude Console

This guide will walk you through the process of creating, editing, and managing Workspaces in your Claude Console organization.",using_the_claude_api_and_console,replied,product_issue,Response derived from: 'Creating and managing Workspaces in the Claude Console'. Matched via TF-IDF retrieval from Claude corpus.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I'm sorry, this request is outside the scope of what our support team can assist with.",integrations_applicant_tracking_systems_jobvite,replied,invalid,"Request is invalid or not actionable by support (e.g., score change, out-of-domain query)."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Use this online form to report a problem you had when trying to use your Visa card.

Learn more about Visa Rules as a consumer or merchant

Visa Inc. is committed to providing our partners and interested parties with greater insight into Visa’s operations.",support_consumer,replied,product_issue,Response derived from: 'Visa Credit Card Rules & Regulations'. Matched via TF-IDF retrieval from Visa corpus.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"2.  Go to the Prepare tab and locate Mock Interviews for you section

_Last updated: Mar 24, 2025, 3:31 PM (Last updated 1 year ago)_

HackerRank Community allows you to purchase mock interview credits to explore and practice different interview types. Once purchased, mock interview credits do not expire. You can attempt any type of mock interview with your purchase.",hackerrank_community_subscriptions_payments_and_billing,replied,bug,Response derived from: 'Purchase Mock Interview Credits'. Matched via TF-IDF retrieval from HackerRank corpus.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Yes. HackerRank does not store payment methods. When purchasing mock interview credits, you can select your preferred payment option in the Stripe or Razorpay pop-up.

Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans

_Last updated: Nov 12, 2025, 4:42 PM (Last updated 5 months ago)_",hackerrank_community_subscriptions_payments_and_billing,replied,bug,"Response derived from: 'Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans'. Matched via TF-IDF retrieval from HackerRank corpus."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"No. HackerRank creates entirely new tests and evaluation content specifically for model testing. Your company’s hiring tests, coding questions, and assessments are never used for testing or training models.

_Last updated: May 11, 2025, 3:14 PM (Last updated 12 months ago)_

At HackerRank, we are committed to transparency. This document answers key questions about our AI Data Services.",hackerrank_ai_data_services,replied,product_issue,Response derived from: 'HackerRank AI Data Services FAQ'. Matched via TF-IDF retrieval from HackerRank corpus.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"_Last updated: Mar 5, 2025, 3:04 PM (Last updated 1 year ago)_

The Prepare by Topics section in the HackerRank Community provides a structured approach to practice coding challenges categorized by programming language and concept. It enables developers to enhance their skills by effectively concentrating on specific programming languages and concepts.

1.  Log in to HackerRank Community using your credentials.",hackerrank_community_practice_coding_challenges,replied,bug,Response derived from: 'Introduction to Coding Challenges'. Matched via TF-IDF retrieval from HackerRank corpus.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"The Prepare by Topics section in the HackerRank Community provides a structured approach to practice coding challenges categorized by programming language and concept. It enables developers to enhance their skills by effectively concentrating on specific programming languages and concepts.

_Last updated: Mar 5, 2025, 3:04 PM (Last updated 1 year ago)_

1.  Log in to HackerRank Community using your credentials.",hackerrank_community_practice_coding_challenges,replied,product_issue,Response derived from: 'Introduction to Coding Challenges'. Matched via TF-IDF retrieval from HackerRank corpus.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Audio and Video Calls in Interviews Powered by Zoom Prerequisites Key benefits Screen sharing during interviews Customize the video layout Verify system compatibility

_Last updated: Oct 14, 2025, 8:24 PM (Last updated 6 months ago)_

HackerRank Interviews include built-in audio and video calling features that allow interviewers and candidates to communicate seamlessly. By integrating with Zoom, HackerRank ensures a smooth and uninterrupted interview experience.",getting_started,replied,bug,Response derived from: 'Audio and Video Calls in Interviews Powered by Zoom Prerequisites Key benefits Screen sharing during interviews Customize the video layout Verify system compatibility'. Matched via TF-IDF retrieval from HackerRank corpus.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"The HackerRank platform will undergo a scheduled database upgrade during our regular maintenance window. This upgrade helps maintain platform reliability and performance.

HackerRank Maintenance Window Notification Maintenance schedule Impact Required actions Frequently Asked Questions Need support?

_Last updated: Mar 19, 2026, 3:08 AM (Last updated 1 month ago)_",frequently_asked_questions,replied,product_issue,Response derived from: 'How Can I Cancel a Test Invite?'. Matched via TF-IDF retrieval from HackerRank corpus.
